column,dtype,non_null,nulls,n_unique
PROD_SPK,int64,17125,0,17125
PROD_COD,object,17125,0,17125
PROD_DES,object,17125,0,11836
CFS_SFK,int64,17125,0,666
CLR_COD,object,17125,0,153
CLR_DES,object,17125,0,100
PROD_CLR,object,17125,0,10571
SZ_COD,object,17125,0,47
SZ_DES,object,17125,0,43
PROD_YEAR_SEA,object,17125,0,3
SEA_COD,int64,17125,0,3
PROD_SIT,object,17125,0,1
TAR_COD,object,17125,0,1
TAR_DES,object,17125,0,1
PROD_REF,int64,17125,0,7644
PROD_DAT_CRI,float64,2,17123,2
PROG_IMAGE,object,17125,0,10540
BAR_COD,int64,17125,0,17125
COMPOSITION,object,17124,1,2847
NET_WEIGHT,float64,16328,797,1200
PROD_SEG,object,17114,11,4
SUP_SFK,int64,17125,0,178
SUP_COD,int64,17125,0,178
THEME,object,17125,0,816
MAIN_THEME,object,17125,0,701
THEME_CODE,object,6042,11083,75
THEME_ID,int64,17125,0,822
CLR_TYPE,object,17125,0,3
MATCHING,object,17125,0,2
FASHIONTYPE,object,17125,0,13
FASHIONTYPE_COD,int64,17125,0,13
PERMANENT,object,17125,0,1
TYPOLOGY,object,17125,0,4
OUTLET,object,17125,0,1
PROD_ONLINE,object,17125,0,2
PHASE,object,2,17123,1
PHASE_COD,object,2,17123,1
PUR_BET,object,17060,65,5
DISPLAY_CLR_COD,object,1,17124,1
DISPLAY_CLR,object,1,17124,1
TARIFF_COD,float64,17102,23,93
PRICE_BASE_W_VAT,float64,17125,0,40
PRICE_BASE_W_VAT_ASWAS,float64,17125,0,40
PRICE_OUTLET_W_VAT,float64,17125,0,40
FLAG_FACT,float64,0,17125,0
DISPLAY_COD,int64,17125,0,45
DISPLAY_DES,object,17125,0,45
PONTAMETALICA_COD,object,1,17124,1
PONTAMETALICA_DES,object,1,17124,1
CATEGORY_MATRIX,object,17125,0,103
DISTRIB_CENTRAL,object,17125,0,3
PROD_YEAR_SEA_INI,object,17125,0,11
MADE_IN,object,17097,28,15
OUTLET_GEN,object,17125,0,1
OUTFIT,object,5694,11431,5
STORE_DATE_PLANNED,int64,17125,0,178
STORE_DATE_REAL,float64,5996,11129,96
STORE_DATE_REVISED,float64,9523,7602,108
STORE_DATE_OUTLET_REAL,float64,4556,12569,16
STORE_DATE_FINAL,object,17125,0,100
CLR_TON_DES,object,1,17124,1
CLR_BAS_DES,object,1,17124,1
DIMENSION,object,17125,0,8
NUMBER_OF_UNITS,object,17125,0,23
DISTRIBUTION_BLOCK,object,17125,0,22
COLLECTION_TYPE,object,17125,0,13
PRINT_TYPE,object,17125,0,19
OPACITY,object,17125,0,3
NIGHT_BAG,object,1989,15136,1
HISTORY,object,252,16873,17
OPEN_REFERENCE,object,17125,0,2
PROD_COD_EQUIV,object,17125,0,17097
PROD_CLR_EQUIV,object,17125,0,10555
PROD_REF_EQUIV,int64,17125,0,7637
ECI_APPAREL,object,9792,7333,1
CAT_COD,int64,17125,0,5
CAT_DES_EN,object,17125,0,5
CAT_DES_PT,object,17125,0,5
CAT_SIT,object,17125,0,2
GFA_COD,int64,17125,0,27
GFA_DES_PT,object,17125,0,67
GFA_DES_EN,object,17125,0,67
GFA_SIT,object,17125,0,2
GFS_COD,int64,17125,0,47
GFS_DES_PT,object,17125,0,104
GFS_DES_EN,object,17125,0,104
GFS_SIT,object,17125,0,2
CAT_ACTIVE,object,17125,0,1
DIMENSION_CONSUMABLE,float64,0,17125,0
FINISHING,object,6008,11117,28
SHAPE,object,144,16981,6
PRODUCT_DETAILS,object,201,16924,25
PROD_TYPOLOGY_ORIG,object,248,16877,4
PURCHASE_BET_ORIG,object,347,16778,4
MATERIAL,object,3185,13940,27
STORE_CONCEPT,float64,0,17125,0
STATUS_ARTICLE,float64,0,17125,0
PRODUCTION_TYPE,float64,0,17125,0
STORE_LOCATION,float64,0,17125,0
INFO_TXT,float64,0,17125,0
AVERAGE_STORE,float64,0,17125,0
CAPACITY,float64,0,17125,0
DESCRIPTION,object,8708,8417,5942
START_DATE,int64,17125,0,382
END_DATE,float64,0,17125,0
ACTIVE_RECORD,int64,17125,0,1
FASHIONTYPE_ASIS,object,17125,0,13
THEME_ASIS,object,17125,0,816
PROD_TYPOLOGY_ORIG_ASIS,object,248,16877,4
PURCHASE_BET_ORIG_ASIS,object,347,16778,4
PERMANENT_ASIS,object,17125,0,1
COLLECTION_TYPE_GROUP,object,17125,0,7
L1_DES,object,17124,1,4
L2_DES,object,17124,1,5
L3_DES,object,17124,1,20
L4_DES,object,17124,1,60
FSALDOS,object,17125,0,24
FSALDOS_OUTLET,object,17125,0,5
PRICE_LCP,float64,16378,747,14630
TRANSP_COST,float64,15703,1422,14443
THEME_CODE_ASIS,object,6042,11083,75
SEASON_DETAIL,object,712,16413,3
ONL_ENTRY_DATE,float64,15624,1501,409
ONL_ENTRY_DATE_DT,object,15624,1501,409
ITEM_LIFE_CYCLE_WEEK,int64,17125,0,7
ONL_IMAGE_DATE,float64,16643,482,481
ONL_IMAGE_DATE_DT,object,16643,482,481
RECLASSIFIED,int64,17125,0,2
WITH_ORDER,int64,17125,0,1
ITEM_REPEAT,object,12809,4316,2
ECI_ONLINE_DATE,float64,9000,8125,47
AUDIT_DT_INSERT,object,17125,0,625
ITEM_GROUP,float64,0,17125,0
RECLASS_REASON,object,2072,15053,8
RECLASS_CODE,object,2072,15053,8
STORE_MONTH_FINAL_PC,object,17125,0,12
CUSTOMIZABLE,object,12913,4212,3
SECONDARY_DISPLAY,float64,0,17125,0
CATEGORY_MATRIX_BUYER,object,17125,0,110
COLLECTION_STRUCTURE,object,17125,0,14
WEEKS_TARGET,int64,17125,0,7
