PROD_CLR_EQUIV,SALES_QTY,SALES_AMT_FX_RATE
209638_BN,5619.0,172173.6469
212312_BM,1754.0,5325.8979
226610_BG,365.0,11205.222
225507_GD,1365.0,8720.6792
226654_PE,130.0,1746.9156
209604_GD,8810.0,46796.306
223862_SV,1728.0,10612.4482
212195_GN,1024.0,29538.0323
216780_FU,4520.0,101141.3778
224910_BK,479.0,10951.33
228633_PE,15.0,113.278
214094_BU,152.0,2918.6276
227073_BN,510.0,21157.337
215504_SV,4289.0,23376.5236
215631_GN,8218.0,101372.1279
211972_HM,1636.0,13147.3406
217938_KK,4688.0,49644.0261
212055_BK,237.0,23342.3395
211497_BM,5190.0,137871.3328
218611_RD,166.0,4216.3309
223658_BM,86.0,1858.3859
226501_MI,133.0,818.3543
214252_KK,4937.0,123760.4711
224530_GD,4.0,143.6316
207972_DM,492.0,10250.7065
217018_NV,7602.0,178561.0881
211698_TU,5775.0,155489.1584
224006_BK,208.0,3577.2518
216222_GD,3987.0,39040.648
219474_BK,2854.0,13093.2212
209830_BM,9308.0,243856.4985
219738_GD,959.0,22352.1669
209659_BM,3806.0,29732.5202
212523_BM,5726.0,136755.1071
223259_OR,2223.0,26203.0982
219569NC,3115.0,43290.8716
223935_EC,2246.0,62124.8122
218497_BG,3529.0,105526.9607
213786_BU,912.0,25191.0853
209585_BK,1633.0,37314.8711
219385_BM,2829.0,31882.621
223903_RD,1657.0,12517.906
211194_HM,2919.0,12405.319
220615_GD,1107.0,10163.6039
217901_BM,3215.0,48500.957
192960_MM,1982.0,14313.5997
221244_BM,3530.0,23796.6987
216619_PK,919.0,8941.8785
227321_BM,1663.0,51055.0021
216008_BM,380.0,2465.2326
212088_GN,2118.0,10769.6502
219063_GD,2691.0,14549.9999
224993_BL,177.0,2064.1187
216874_BM,2915.0,46566.0908
223590_BM,400.0,11501.313
210787_BK,4279.0,102555.5891
210234_GD,11820.0,75182.1325
207858_GD,7112.0,163509.1233
213661_GN,3991.0,96998.0476
221165_LN,2718.0,73266.2457
226819_BG,56.0,1830.8044
228000_GD,85.0,426.4531
210079_KK,8313.0,189261.7446
217229_EC,1376.0,51153.3175
209335_GD,3111.0,14262.2197
227207_RO,139.0,1215.9112
224015_BU,2451.0,53563.7344
209333_SV,3174.0,34797.5271
214231_BL,3710.0,41347.7056
216532_FU,808.0,22560.8785
223183_BM,3205.0,88851.4715
212500_HM,4132.0,31058.8766
227000_BU,30.0,467.9011
209764_OR,1375.0,10114.8327
215208_LM,2294.0,23878.4869
218676_BK,8051.0,232112.9227
216802_BG,9597.0,237453.497
214227_GN,3978.0,95324.5399
218635_DG,2480.0,71575.1314
223318_HM,2034.0,18197.7031
223455_BM,3143.0,84688.9429
210714_BK,5254.0,147576.4658
217007_BK,439.0,10633.5525
210928_TU,8021.0,165553.6709
223882_GD,2078.0,17474.1558
220925_GD,18806.0,104933.5578
212067_SV,943.0,21049.7998
222901_BL,9893.0,187384.6442
218343_HM,1716.0,9586.9113
223953_SV,362.0,3358.3969
2152481PM,7288.0,69062.6894
210928_BL,2248.0,48011.1663
203157_HM,5759.0,49250.5023
211296_BK,7589.0,152521.508
225028_GD,9.0,123.895
225675_HM,2373.0,19982.9423
224480_BK,649.0,4987.015
209184_GD,7338.0,39860.4451
216899_AM,5408.0,32993.6838
221819_BM,1060.0,7736.3312
217553_TU,6658.0,100042.1928
215564_GD,5723.0,38074.1389
215927_IV,4403.0,22462.4744
226739_NM,0.0,0.0
223792_SV,1055.0,8555.3782
206792_BK,761.0,15193.0459
219280_GN,2426.0,15633.6624
217423_HM,3940.0,18559.7115
211727_DM,2371.0,10573.7525
213084_BK,12146.0,95193.3768
2097121LL,88.0,365.3078
224842_BN,52.0,4163.6815
209442_SW,4522.0,47163.9168
211325_GD,778.0,4938.7192
227488_BU,24.0,1902.2425
214049_BM,5027.0,13928.4226
160035_FU,3178.0,28987.9865
217089_BK,4694.0,55418.5508
226377_MI,169.0,877.1358
221285_WT,1513.0,31023.003
215565_SV,5222.0,23429.2926
216347_EC,8406.0,159743.3516
223403_BK,1300.0,6006.0488
213747_GD,2522.0,16262.874
221133_BK,87.0,5699.1574
215995_IV,8567.0,68804.5313
215991_HM,1898.0,7188.0877
216436_BM,355.0,7036.5806
218689_GD,1183.0,25868.3427
213187_GN,7292.0,175667.3481
214044_BM,959.0,9066.0568
224472_WT,127.0,3738.9626
218314_HM,615.0,6467.6474
217301_HM,1143.0,21319.4513
218613_RD,126.0,2600.632
206913_GD,2332.0,13851.323
219771_GD,3139.0,16491.3215
209663_BM,4120.0,48113.4479
212124_BK,6201.0,134965.2011
224707_KK,2196.0,39435.6911
219967_YL,4687.0,125962.8111
212576_HM,3960.0,23047.7021
215921_WT,2421.0,14378.0146
214499_LM,6664.0,130173.9892
214649_SV,4388.0,43893.9251
215147_BM,836.0,27885.8154
167718_BU,4649.0,23495.1636
213055_BK,4717.0,48335.1659
222631_EC,467.0,28047.9745
211633_GD,5128.0,38431.5445
1930092BM,115.0,577.3361
214499_EC,13642.0,291377.8771
212416_HM,1469.0,34465.7771
214453_WT,277.0,22276.2859
216997_BM,2391.0,17289.6671
208071_EC,124.0,2198.7677
224770_BM,41.0,699.9745
215604_HM,7071.0,46500.4209
227632_BU,617.0,18525.8504
222587_OR,685.0,24406.1886
218246_DP,4652.0,53994.3784
226898_DM,1288.0,18412.6769
213778_PU,3794.0,27033.235
216694_DM,3400.0,19957.4723
214097_BU,164.0,3368.3128
219109_SV,1710.0,5637.4889
195775_GD,2507.0,20625.6255
211705_DM,4337.0,70379.3333
218132_PK,4148.0,47107.4677
214674_BL,9445.0,181471.1518
215966_BM,4787.0,109165.6734
212714_BK,4708.0,111172.1499
213196_BM,968.0,13332.8066
217383_SV,5418.0,27537.8086
211367_BM,5157.0,59410.8844
218063_GD,10946.0,224633.1333
226350_BU,18.0,204.3473
222712_BK,1420.0,16726.9061
219754_BM,1709.0,19890.9512
220905_BL,1516.0,53558.9195
227002_BU,26.0,727.8643
221133_GN,55.0,3691.9127
2203131BM,1509.0,9691.8034
213832_BK,6317.0,158795.8169
212631_BK,365.0,9364.7707
223644_TU,2238.0,69386.503
211637_GD,1116.0,5925.6569
214198_LM,2103.0,17542.5758
220890_SV,40.0,754.7443
211235_RD,4357.0,69531.5025
212259_GD,1032.0,5790.2327
212941_BK,3119.0,28879.3749
217138_RD,848.0,9463.6563
218832_BG,469.0,12828.9509
226424_BU,714.0,3780.1563
214981_PK,1681.0,41348.992
224555_MD,520.0,12355.0432
214231_LL,4088.0,43088.8707
224966_BR,694.0,9665.23
219326_RD,103.0,1079.804
224561_BK,2945.0,22307.5553
212703_FU,764.0,20427.5041
210202_YL,1155.0,11428.4923
217560_GN,7293.0,134094.9396
219708NC,6974.0,141553.621
227148_RO,11.0,125.8269
223746_BR,495.0,5860.3356
221361_BL,93.0,2687.309
216428_GD,644.0,8794.5701
214583_PK,1964.0,50973.1352
211889_IV,4001.0,44833.0162
213920_DM,1337.0,4650.4058
221832_CL,988.0,8497.0571
209265_BK,2844.0,10394.4631
221175NC,3857.0,70307.7408
211549_LL,4443.0,69616.0196
211348_RD,1685.0,29303.5313
212078_BL,4712.0,22682.5926
224970_BK,258.0,6293.7141
209508_SW,7878.0,160383.1122
212042_DM,2647.0,35058.2625
226217_BG,374.0,3971.6662
211156_OR,1530.0,21276.8201
225026_GD,19.0,262.7873
222730NC,515.0,13005.7653
223634_BU,1677.0,41578.4643
206316_DM,4470.0,17223.5999
170732_BL,481.0,3656.6353
224702_BU,1831.0,46856.6971
226971_DM,1945.0,17472.1169
2158960HM,4268.0,24022.374
218892_BL,4523.0,25968.3858
209314_HM,3748.0,19437.5515
212239_GY,380.0,3872.6773
227148_GN,45.0,523.4411
222607_CL,491.0,3851.6382
